"match_idx","newUser_id"
35197,305289
89677,200042
98228,200023
63923,200006
48772,305285
48772,305294
48772,305319
3069,200028
51583,200016
92704,200039
92704,200041
92704,305295
44051,200007
44051,200035
15957,200037
94615,305244
94615,305267
19508,200022
19508,200038
67784,200015
67784,305271
35198,305309
42289,200104
42289,305215
79145,305280
48773,305281
44052,200034
10554,305269
84635,200012
84635,200049
84635,200058
84635,305300
67785,200013
67785,200014
67785,200053
67785,305219
67785,305230
67785,305317
48774,200247
48774,200322
48774,200334
48774,200338
48774,200350
8261,305264
38773,200024
38773,200031
9443,200021
9443,305303
91533,304781
91533,305292
4459,200009
4459,305266
4459,305315
51585,305273
51585,305320
40541,200072
1586,305310
22163,305297
66496,200280
1587,200084
1587,200109
1587,200124
2,200051
2,200067
2,200171
2,200182
2,200188
2,200205
2,200227
35199,200192
82880,200102
82880,200139
82880,200155
82880,200164
82880,200178
66497,200201
52868,200099
52868,200220
40543,200133
103246,200032
103246,305224
103246,305305
54147,200122
10556,200173
48776,200060
89679,200217
12659,200069
66498,200120
66498,200181
66498,200254
3,200183
44053,200118
93925,200055
93925,200083
93925,200114
93925,200146
93925,200174
93925,200194
91492,200202
94076,200218
36972,200222
36972,200269
36972,200287
80998,200160
55315,200081
55315,200187
82881,200100
89680,200044
89680,200108
89680,200113
89680,200125
89680,200131
89680,200214
75691,200079
75691,200094
75691,200136
75691,200137
75691,200162
79146,200144
80999,200095
80999,200197
93581,200105
48777,200080
48777,200121
48777,200123
48777,200140
48777,200149
48777,200163
48777,200167
48777,200168
48777,200184
48777,200203
48777,200236
93358,200193
7053,200048
7053,200129
7053,200135
7053,200142
7053,200170
7053,200189
7053,200204
96677,200071
96677,200075
96677,200299
14861,200050
14861,200061
14861,200070
14861,200082
14861,200098
14861,200127
14861,200128
14861,200154
14861,200195
44055,200216
81001,200209
81001,200210
58546,200145
55316,200096
55316,200169
52871,200062
52871,200088
52871,200172
52871,200177
52871,200223
36973,200043
36973,200090
36973,200134
67786,200112
93177,200191
98617,200103
98617,200151
98617,200157
98617,200190
54150,200198
5806,200230
5806,200232
86433,200064
86433,200179
86433,200219
13746,200056
13746,200111
13746,200166
13746,200199
13746,200206
13746,200231
12660,200092
12660,200239
25043,200086
25043,200117
25043,200138
54151,200115
54151,200176
36974,200327
103248,200238
103248,200337
81002,200116
82882,200309
44057,200244
44057,200274
44057,200276
44057,200281
44057,200301
44057,200310
25045,200153
25045,200208
25045,200225
94993,200258
12661,200265
12661,200336
50210,200321
1589,200417
1589,200475
55317,200292
55317,200348
82883,200486
94490,200271
42291,200243
42291,200311
42291,200335
